Species;Order;Life_Expectancy;Body_Mass;RDI;N_Death;Necropsy_Effort;Animal;Vertebrate;Invertebrate;Herptile;Mammal;Group;Occurence;Proportion;Prevalence
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Digestive system;2;0.111111111;0.002094241
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Diaphragm;0;0;0
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Circulatory system;0;0;0
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Uro-genital system;2;0.111111111;0.002094241
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Skin;0;0;0
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Fat tissues;0;0;0
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Endocrine system;3;0.166666667;0.003141361
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;All Organs;16;NA;0.016753927
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Lymphatic system;9;0.5;0.009424084
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Bone;0;0;0
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Exocrine system;0;0;0
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Nervous system;1;0.055555556;0.00104712
Acinonyx_jubatus;Carnivora;3833.74627;42.55007214;345;955;0.361256545;Primary or secondary food item;Primary or secondary food item;Rarely or Never;Rarely or Never;Primary or secondary food item;Respiratory system;1;0.055555556;0.00104712
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Uro-genital system;2;0.2;0.004140787
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;All Organs;6;NA;0.01242236
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Endocrine system;1;0.1;0.002070393
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Respiratory system;3;0.3;0.00621118
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Bone;0;0;0
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Exocrine system;0;0;0
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Digestive system;2;0.2;0.004140787
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Circulatory system;1;0.1;0.002070393
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Fat tissues;0;0;0
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Skin;0;0;0
Addax_nasomaculatus;Artiodactyla;3704.388698;110.6330566;109;483;0.225672878;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Diaphragm;0;0;0
